datum,hodina,proces,celkem,pozde
2026-08-12,4,5. EXP (DLT),16947,108
2026-08-12,4,6. BJ (LT),650,27
2026-08-12,4,7. BJ (ČS),942,33
2026-08-12,5,1. Pick,625,21
2026-08-12,5,2. Pack,647,22
2026-08-12,5,3. Sort,85,1
2026-08-12,5,4. EXP (ČS),17308,117
2026-08-12,5,5. EXP (DLT),17428,122
2026-08-12,5,6. BJ (LT),5,1
2026-08-12,5,7. BJ (ČS),641,26
2026-08-12,6,1. Pick,53,0
2026-08-12,6,2. Pack,52,1
2026-08-12,6,3. Sort,516,30
2026-08-12,6,4. EXP (ČS),227,33
2026-08-12,6,5. EXP (DLT),227,33
2026-08-12,6,6. BJ (LT),51,32
2026-08-12,6,7. BJ (ČS),18,8
2026-08-12,7,1. Pick,81,0
2026-08-12,7,2. Pack,81,0
2026-08-12,7,3. Sort,314,15
2026-08-12,7,4. EXP (ČS),465,0
2026-08-12,7,5. EXP (DLT),455,0
2026-08-12,7,6. BJ (LT),22,16
2026-08-12,7,7. BJ (ČS),65,50
2026-08-12,8,1. Pick,1473,2
2026-08-12,8,2. Pack,366,0
2026-08-12,8,3. Sort,27,1
2026-08-12,8,4. EXP (ČS),249,46
2026-08-12,8,5. EXP (DLT),25,0
2026-08-12,8,6. BJ (LT),2,2
2026-08-12,8,7. BJ (ČS),3,3
2026-08-12,9,1. Pick,1369,1
2026-08-12,9,2. Pack,1140,4
2026-08-12,9,3. Sort,1478,11
2026-08-12,9,4. EXP (ČS),51,2
2026-08-12,9,5. EXP (DLT),103,16
2026-08-12,9,6. BJ (LT),461,62
2026-08-12,9,7. BJ (ČS),104,103
2026-08-12,10,1. Pick,1395,72
2026-08-12,10,2. Pack,1765,5
2026-08-12,10,3. Sort,83,10
2026-08-12,10,4. EXP (ČS),1514,25
2026-08-12,10,5. EXP (DLT),1514,25
2026-08-12,10,6. BJ (LT),2,0
2026-08-12,10,7. BJ (ČS),357,55
2026-08-12,11,1. Pick,2473,1
2026-08-12,11,2. Pack,1031,15
2026-08-12,11,3. Sort,1755,37
2026-08-12,11,4. EXP (ČS),61,6
2026-08-12,11,5. EXP (DLT),61,5
2026-08-12,11,6. BJ (LT),318,39
2026-08-12,11,7. BJ (ČS),2,0
2026-08-12,12,1. Pick,2801,1
2026-08-12,12,2. Pack,2678,9
2026-08-12,12,3. Sort,3385,76
2026-08-12,12,4. EXP (ČS),1738,27
2026-08-12,12,5. EXP (DLT),611,5
2026-08-12,12,6. BJ (LT),470,14
2026-08-12,12,7. BJ (ČS),318,30
2026-08-12,13,1. Pick,546,0
2026-08-12,13,2. Pack,734,0
2026-08-12,13,3. Sort,917,13
2026-08-12,13,4. EXP (ČS),3515,66
2026-08-12,13,5. EXP (DLT),1355,8
2026-08-12,13,6. BJ (LT),85,10
2026-08-12,13,7. BJ (ČS),457,8
2026-08-12,14,1. Pick,7095,13
2026-08-12,14,2. Pack,1537,16
2026-08-12,14,3. Sort,154,5
2026-08-12,14,4. EXP (ČS),992,32
2026-08-12,14,5. EXP (DLT),3787,36
2026-08-12,14,7. BJ (ČS),80,5
2026-08-12,15,1. Pick,439,22
2026-08-12,15,2. Pack,8063,21
2026-08-12,15,3. Sort,7041,70
2026-08-12,15,4. EXP (ČS),58,2
2026-08-12,15,5. EXP (DLT),452,3
2026-08-12,15,6. BJ (LT),706,87
2026-08-12,16,1. Pick,235,0
2026-08-12,16,2. Pack,320,0
2026-08-12,16,3. Sort,2564,32
2026-08-12,16,4. EXP (ČS),7080,64
2026-08-12,16,5. EXP (DLT),5854,41
2026-08-12,16,6. BJ (LT),226,12
2026-08-12,16,7. BJ (ČS),709,68
2026-08-12,17,1. Pick,25,0
2026-08-12,17,2. Pack,218,0
2026-08-12,17,3. Sort,221,2
2026-08-12,17,4. EXP (ČS),2522,31
2026-08-12,17,5. EXP (DLT),1521,28
2026-08-12,17,6. BJ (LT),24,4
2026-08-12,17,7. BJ (ČS),82,3
2026-08-12,18,1. Pick,35,0
2026-08-12,18,2. Pack,33,0
2026-08-12,18,3. Sort,256,2
2026-08-12,18,4. EXP (ČS),224,2
2026-08-12,18,5. EXP (DLT),2451,24
2026-08-12,18,6. BJ (LT),50,1
2026-08-12,18,7. BJ (ČS),24,4
2026-08-12,19,1. Pick,6,0
2026-08-12,19,2. Pack,8,0
2026-08-12,19,3. Sort,13,3
2026-08-12,19,4. EXP (ČS),241,2
2026-08-12,19,5. EXP (DLT),78,9
2026-08-12,19,7. BJ (ČS),50,1
2026-08-12,20,1. Pick,2150,36
2026-08-12,20,2. Pack,1005,15
2026-08-12,20,3. Sort,115,1
2026-08-12,20,4. EXP (ČS),115,1
2026-08-12,20,5. EXP (DLT),227,0
2026-08-12,20,6. BJ (LT),12,1
2026-08-12,20,7. BJ (ČS),12,1
2026-08-12,21,1. Pick,677,3
2026-08-12,21,2. Pack,1712,3
2026-08-12,21,3. Sort,2113,34
2026-08-12,21,5. EXP (DLT),115,1
2026-08-12,21,6. BJ (LT),231,26
2026-08-12,22,1. Pick,197,0
2026-08-12,22,2. Pack,307,1
2026-08-12,22,3. Sort,599,11
2026-08-12,22,4. EXP (ČS),2227,26
2026-08-12,22,5. EXP (DLT),1657,20
2026-08-12,22,6. BJ (LT),83,4
2026-08-12,22,7. BJ (ČS),231,8
2026-08-12,23,1. Pick,271,33
2026-08-12,23,3. Sort,197,9
2026-08-12,23,4. EXP (ČS),793,18
2026-08-12,23,5. EXP (DLT),1338,14
2026-08-12,23,6. BJ (LT),39,0
2026-08-12,23,7. BJ (ČS),122,5
2026-08-13,0,1. Pick,22303,97
2026-08-13,0,2. Pack,413,4
2026-08-13,0,4. EXP (ČS),1,1
2026-08-13,0,5. EXP (DLT),351,1
2026-08-13,1,1. Pick,28224,68
2026-08-13,1,2. Pack,50281,7752
2026-08-13,1,3. Sort,22489,1400
2026-08-13,1,6. BJ (LT),1557,48
